,from,to,weight
116221,Sirunyan A.M.,Thüer S.,234
46080,Ciocca C.,Sirunyan A.M.,235
101553,Overton D.,Sirunyan A.M.,235
116063,Sirunyan A.M.,Suwonjandee N.,235
99184,Niemeyer C.E.N.,Sirunyan A.M.,235
110797,Rodríguez Bouza V.,Sirunyan A.M.,237
110177,Reissel C.,Sirunyan A.M.,237
11708,Abu Zeid S.,Sirunyan A.M.,237
94162,McMaster B.,Sirunyan A.M.,237
61418,Güth A.,Sirunyan A.M.,238
101791,Pak S.I.,Sirunyan A.M.,240
13155,Agaras M.N.,Sirunyan A.M.,240
117070,Sirunyan A.M.,Zuo X.,240
97315,Nabili S.,Sirunyan A.M.,241
56887,Fontanesi E.,Sirunyan A.M.,241
54298,Erdweg S.,Sirunyan A.M.,241
36911,Chaparro Sierra L.F.,Sirunyan A.M.,242
77138,Kim J.,Tumasyan A.,242
48132,Da Rold A.,Sirunyan A.M.,243
111163,Rosenzweig D.,Sirunyan A.M.,243
109071,Rabadan-Trejo R.I.,Sirunyan A.M.,243
95993,Monti F.,Sirunyan A.M.,243
52994,Duran-Osuna M.C.,Sirunyan A.M.,244
59759,Gonzalez Suarez R.,Sirunyan A.M.,244
115470,Sinthuprasith T.,Sirunyan A.M.,244
87442,Lenzi T.,Sirunyan A.M.,244
107394,Poyraz D.,Sirunyan A.M.,244
93365,Martinez Ruiz del Arbol P.,Sirunyan A.M.,245
73039,Kamin J.,Sirunyan A.M.,245
110212,Rembser J.,Sirunyan A.M.,245
61195,Gurpinar E.,Sirunyan A.M.,245
47638,Courbon B.,Sirunyan A.M.,245
93716,Matos Figueiredo D.,Sirunyan A.M.,246
31818,Bäni L.,Sirunyan A.M.,246
115327,Singh G.,Sirunyan A.M.,246
97229,Mäenpää T.,Sirunyan A.M.,247
60164,Granier de Cassagnac R.,Sirunyan A.M.,248
116595,Sirunyan A.M.,Virdi A.K.,248
17941,Antropov I.,Sirunyan A.M.,249
12736,Ackert A.,Sirunyan A.M.,249
116709,Sirunyan A.M.,Wayand S.,249
